study,group,tissue,cellType,gene1,gene2,is_marker
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,ARF1,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,ARPC5,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,CALM2,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,CDC42EP3,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,CFLAR,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,CSDE1,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,CTSS,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,CXCL2,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,CYTIP,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,DUSP2,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,FCER1G,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,G0S2,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,GBP2,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,H3F3A,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,HNRNPDL,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,IFI6,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,IL1A,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,ISG15,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,JUN,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,OST4,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,PDE4DIP,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,PELI1,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,PTGS2,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,PTPRC,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,PTX3,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,RPL11,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,RPL32,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,RPS27,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,RPS27A,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,S100A11,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,S100A4,2,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,S100A6,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,S100A8,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,SELL,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,SH3BGRL3,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,STK17B,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,YBX1,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,ZEB2,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Granulocyte,ZFP36L2,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Nk Cell,CD52,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-Nk Cell,YPEL5,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,ARF1,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,BHLHE40,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,CCNI,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,CDKN1A,96,yes
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,CHCHD2,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,CNBP,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,COX7C,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,CYTIP,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,DUSP2,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,EZR,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,FYB,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,HLA-B,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,HLA-E,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,HNRNPA2B1,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,HNRNPDL,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,HSP90AB1,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,IL7R,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,JUN,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,LAPTM5,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,NR4A2,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,PIK3R1,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,PPIA,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,PTMA,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,RGS1,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,RPS8,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,SELK,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,SRSF7,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,STK17B,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,SUB1,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,TAGLN2,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,TMA7,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,TNFAIP3,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,TOMM7,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,TRBV5-1,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,TXNIP,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,UBE2D3,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,YBX1,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,YPEL5,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd8+ T Cell,CCNI,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd8+ T Cell,CD48,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd8+ T Cell,CNBP,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd8+ T Cell,COX7C,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd8+ T Cell,FGFBP2,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd8+ T Cell,GNLY,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd8+ T Cell,HNRNPA0,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd8+ T Cell,HNRNPA2B1,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd8+ T Cell,IL7R,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd8+ T Cell,LAPTM5,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd8+ T Cell,RGS1,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd8+ T Cell,TRBV7-9,1,no
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,Immune Cells-T Cell-Cd8+ T Cell,UBE2D3,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Endothelial Cell-Global,BCL2A1,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Endothelial Cell-Global,CD83,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Endothelial Cell-Global,IL1B,8,yes
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Endothelial Cell-Global,PELI1,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Endothelial Cell-Global,SOD2,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,ACSL1,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,ANXA5,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,ARF1,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,ARPC2,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,ATP6V0B,5,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,BTG2,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,CCNI,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,CD52,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,CDC42,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,CDC42EP3,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,CNBP,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,COX5B,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,CSF3R,5,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,CXCL8,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,CXCR4,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,CYTIP,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,DUSP2,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,ENO1,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,EREG,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,G0S2,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,GNG5,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,GPX1,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,H3F3A,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,HNRNPDL,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,ID2,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,IL1B,25,yes
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,IL1RN,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,JUN,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,LAPTM5,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,LRRFIP1,5,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,MBNL1,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,NBPF26,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,NFKBIZ,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,NLRP3,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,OST4,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,PLEK,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,PRRC2C,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,PTGS2,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,PTPRC,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,RASGEF1B,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,RHOA,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,RNF19B,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,RPL31,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,RPS27A,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,RPS7,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,RPSA,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,S100A10,2,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,S100A11,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,S100A12,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,S100A6,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,SELK,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,SERP1,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,SRSF7,5,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,TAGLN2,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,TKT,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,TMA7,5,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,TPM3,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,TXNIP,3,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,UQCRH,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,ZEB2,5,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-Granulocyte,ZFP36L2,4,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,IL7R,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,PPIA,1,no
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,Immune Cells-T Cell-Cd4 T Cell,SH3BGRL3,1,no
17.human_TabulaSapiens,normal,Blood,Immune Cells-Macrophage,ACTR2,1,no
17.human_TabulaSapiens,normal,Blood,Immune Cells-Macrophage,ACTR3,1,no
17.human_TabulaSapiens,normal,Blood,Immune Cells-Macrophage,C1orf162,1,no
17.human_TabulaSapiens,normal,Blood,Immune Cells-Macrophage,CAP1,1,no
17.human_TabulaSapiens,normal,Blood,Immune Cells-Macrophage,CAST,1,no
17.human_TabulaSapiens,normal,Blood,Immune Cells-Macrophage,CCNI,1,no
17.human_TabulaSapiens,normal,Blood,Immune Cells-Macrophage,CSTA,1,no
17.human_TabulaSapiens,normal,Blood,Immune Cells-Macrophage,H2AFY,1,no
17.human_TabulaSapiens,normal,Blood,Immune Cells-Macrophage,HCLS1,1,no
17.human_TabulaSapiens,normal,Blood,Immune Cells-Macrophage,HNRNPU,1,no
17.human_TabulaSapiens,normal,Blood,Immune Cells-Macrophage,IL1R2,71,yes
17.human_TabulaSapiens,normal,Blood,Immune Cells-Macrophage,LST1,1,no
17.human_TabulaSapiens,normal,Blood,Immune Cells-Macrophage,MBNL1,1,no
17.human_TabulaSapiens,normal,Blood,Immune Cells-Macrophage,MCL1,1,no
17.human_TabulaSapiens,normal,Blood,Immune Cells-Macrophage,MNDA,1,no
17.human_TabulaSapiens,normal,Blood,Immune Cells-Macrophage,PCBP1,1,no
17.human_TabulaSapiens,normal,Blood,Immune Cells-Macrophage,RIPOR2,1,no
17.human_TabulaSapiens,normal,Blood,Immune Cells-Macrophage,RNF130,1,no
17.human_TabulaSapiens,normal,Blood,Immune Cells-Macrophage,RPL10P9,1,no
17.human_TabulaSapiens,normal,Blood,Immune Cells-Macrophage,RPL22,1,no
17.human_TabulaSapiens,normal,Blood,Immune Cells-Macrophage,S100A12,1,no
17.human_TabulaSapiens,normal,Blood,Immune Cells-Macrophage,S100A8,1,no
17.human_TabulaSapiens,normal,Blood,Immune Cells-Macrophage,SERPINB1,1,no
17.human_TabulaSapiens,normal,Blood,Immune Cells-Macrophage,SMAP2,1,no
17.human_TabulaSapiens,normal,Blood,Immune Cells-Macrophage,TPM3,1,no
17.human_TabulaSapiens,normal,Blood,Immune Cells-Macrophage,VAMP8,1,no
